"runtime","image_name","ressource_limit","repeat","send","received","filepath"
"default","iperf","default","1","3866850000.0","3863780000.0","/opt/auswertung/Raw/bench_iperf_vagrant/default/default/iperf/repeat_1/iperf.txt"
"default","iperf","default","2","3642410000.0","3639730000.0","/opt/auswertung/Raw/bench_iperf_vagrant/default/default/iperf/repeat_2/iperf.txt"
"runsc","iperf","default","1","1230550000.0","1228020000.0","/opt/auswertung/Raw/bench_iperf_vagrant/default/runsc/iperf/repeat_1/iperf.txt"
"runsc","iperf","default","2","1393690000.0","1391990000.0","/opt/auswertung/Raw/bench_iperf_vagrant/default/runsc/iperf/repeat_2/iperf.txt"
"default","iperf","max","1","3994150000.0","3991310000.0","/opt/auswertung/Raw/bench_iperf_vagrant/max/default/iperf/repeat_1/iperf.txt"
"default","iperf","max","2","3450350000.0","3447970000.0","/opt/auswertung/Raw/bench_iperf_vagrant/max/default/iperf/repeat_2/iperf.txt"
"runsc","iperf","max","1","1411110000.0","1408900000.0","/opt/auswertung/Raw/bench_iperf_vagrant/max/runsc/iperf/repeat_1/iperf.txt"
"runsc","iperf","max","2","1411580000.0","1410020000.0","/opt/auswertung/Raw/bench_iperf_vagrant/max/runsc/iperf/repeat_2/iperf.txt"
"default","iperf","min","1","3878630000.0","3876090000.0","/opt/auswertung/Raw/bench_iperf_vagrant/min/default/iperf/repeat_1/iperf.txt"
"default","iperf","min","2","3956330000.0","3954500000.0","/opt/auswertung/Raw/bench_iperf_vagrant/min/default/iperf/repeat_2/iperf.txt"
"runsc","iperf","min","1","1382700000.0","1380640000.0","/opt/auswertung/Raw/bench_iperf_vagrant/min/runsc/iperf/repeat_1/iperf.txt"
"runsc","iperf","min","2","1511780000.0","1508820000.0","/opt/auswertung/Raw/bench_iperf_vagrant/min/runsc/iperf/repeat_2/iperf.txt"
