duration,type,send_std,send_mean,re_std,re_mean,send_abweichung_in_prozent,send_konf_intervall_unten,send_konf_intervall_oben,re_abweichung_in_prozent,re_konf_intervall_unten,re_konf_intervall_oben
10,tcp,"0,56","900,16","0,77","899,74","0,02","900,0","900,32","0,02","899,51","899,96"
10,udp,"0,0","0,99","0,0","0,0","0,0","0,99","0,99",,"0,0","0,0"
30,tcp,"0,4","898,5","0,37","898,42","0,01","898,38","898,61","0,01","898,31","898,52"
30,udp,"0,0","1,0","0,0","0,0","0,0","1,0","1,0",,"0,0","0,0"
60,tcp,"0,05","898,2","0,03","898,15","0,0","898,18","898,21","0,0","898,14","898,16"
60,udp,"0,0","1,0","0,0","0,0","0,0","1,0","1,0",,"0,0","0,0"
120,tcp,"0,02","897,98","0,01","897,97","0,0","897,97","897,99","0,0","897,97","897,97"
120,udp,"0,0","1,0","0,0","0,0","0,0","1,0","1,0",,"0,0","0,0"
240,tcp,"0,62","898,0","0,62","897,99","0,02","897,82","898,18","0,02","897,81","898,17"
240,udp,"0,0","1,0","0,0","0,0","0,0","1,0","1,0",,"0,0","0,0"
